GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
UADetector :: Core,net.sf.uadetector.internal.data,XmlDataHandler.Tag,5,431,0,4,0,52,1,17,1,15
UADetector :: Core,net.sf.uadetector.internal.data,OrderedPatternComparator,0,7,0,0,0,2,0,2,0,2
UADetector :: Core,net.sf.uadetector.internal.data,Data,0,819,0,38,0,166,0,38,0,19
UADetector :: Core,net.sf.uadetector.internal.data,XmlDataHandler,66,1034,0,154,18,235,4,104,4,27
UADetector :: Core,net.sf.uadetector.internal.data,BrowserOperatingSystemMappingComparator,0,24,0,4,0,4,0,5,0,3
UADetector :: Core,net.sf.uadetector.internal.data,IdentifiableComparator,0,14,0,0,0,4,0,3,0,3
UADetector :: Core,net.sf.uadetector.internal.data,DataBuilder,42,997,0,60,7,159,1,58,1,28
UADetector :: Core,net.sf.uadetector,VersionNumber,0,452,0,42,0,87,0,44,0,23
UADetector :: Core,net.sf.uadetector,OperatingSystem,0,333,0,22,0,81,0,24,0,13
UADetector :: Core,net.sf.uadetector,DeviceCategory.Builder,35,47,0,0,7,11,1,6,1,6
UADetector :: Core,net.sf.uadetector,UserAgent.Builder,3,305,0,0,1,71,1,27,1,27
UADetector :: Core,net.sf.uadetector,DeviceCategory,0,194,0,14,0,44,0,18,0,11
UADetector :: Core,net.sf.uadetector,ReadableDeviceCategory.Category,5,150,0,4,0,21,1,7,1,5
UADetector :: Core,net.sf.uadetector,OperatingSystemFamily,5,629,0,10,0,68,1,13,1,8
UADetector :: Core,net.sf.uadetector,UserAgent,0,441,0,28,0,105,0,30,0,16
UADetector :: Core,net.sf.uadetector,VersionParser,0,603,0,64,0,147,0,48,0,16
UADetector :: Core,net.sf.uadetector,UserAgentType,5,194,0,4,0,25,1,7,1,5
UADetector :: Core,net.sf.uadetector,UserAgentFamily,5,11385,0,10,0,895,1,13,1,8
UADetector :: Core,net.sf.uadetector.datastore,SimpleXmlDataStore,0,12,0,0,0,3,0,2,0,2
UADetector :: Core,net.sf.uadetector.datastore,DataStore,0,4,0,0,0,1,0,1,0,1
UADetector :: Core,net.sf.uadetector.datastore,UpdateOperationTask,0,26,0,2,0,7,0,3,0,2
UADetector :: Core,net.sf.uadetector.datastore,CachingXmlDataStore.CacheFileDataStore,0,8,0,0,0,2,0,1,0,1
UADetector :: Core,net.sf.uadetector.datastore,CachingXmlDataStore,46,144,0,6,9,36,3,10,3,7
UADetector :: Core,net.sf.uadetector.datastore,OnlineXmlDataStore,0,13,0,0,0,3,0,2,0,2
UADetector :: Core,net.sf.uadetector.datastore,AbstractUpdateOperation.new Runnable() {...},0,10,0,0,0,3,0,2,0,2
UADetector :: Core,net.sf.uadetector.datastore,AbstractRefreshableDataStore,31,124,0,4,6,38,0,16,0,14
UADetector :: Core,net.sf.uadetector.datastore,UpdateOperationWithCacheFileTask,47,292,1,17,7,69,1,20,0,12
UADetector :: Core,net.sf.uadetector.datastore,AbstractUpdateOperation,0,161,0,8,0,36,0,13,0,9
UADetector :: Core,net.sf.uadetector.datastore,AbstractDataStore,0,103,0,2,0,28,0,11,0,10
UADetector :: Core,net.sf.uadetector.datareader,XmlDataReader,51,85,0,2,12,25,0,6,0,5
UADetector :: Core,net.sf.uadetector.datareader,XmlDataReader.XmlParser,0,32,0,2,0,12,0,4,0,3
UADetector :: Core,net.sf.uadetector.internal.util,AlphanumComparator,0,177,0,36,0,52,0,23,0,5
UADetector :: Core,net.sf.uadetector.internal.util,CompareNullSafe,0,36,0,10,0,10,0,8,0,3
UADetector :: Core,net.sf.uadetector.internal.util,ExecutorServices,13,164,0,8,2,36,0,12,0,8
UADetector :: Core,net.sf.uadetector.internal.util,RegularExpressionConverter.Flag,5,314,0,20,0,55,1,21,1,11
UADetector :: Core,net.sf.uadetector.internal.util,FileUtil,3,41,0,2,2,10,1,2,1,1
UADetector :: Core,net.sf.uadetector.internal.util,RegularExpressionConverter.Flag.FlagByCharacterComparator,0,15,0,0,0,4,0,2,0,2
UADetector :: Core,net.sf.uadetector.internal.util,Closeables,3,41,0,8,2,17,1,7,1,3
UADetector :: Core,net.sf.uadetector.internal.util,DaemonThreadFactory,0,29,0,0,0,9,0,2,0,2
UADetector :: Core,net.sf.uadetector.internal.util,RegularExpressionConverter,0,94,0,4,0,18,0,7,0,5
UADetector :: Core,net.sf.uadetector.internal.util,UrlUtil,16,126,0,2,2,37,0,7,0,6
UADetector :: Core,net.sf.uadetector.parser,UpdatingUserAgentStringParserImpl,0,61,0,2,0,18,0,6,0,5
UADetector :: Core,net.sf.uadetector.parser,AbstractUserAgentStringParser,0,298,0,44,0,67,0,31,0,9
UADetector :: Core,net.sf.uadetector.parser,UserAgentStringParserImpl,0,13,0,0,0,5,0,2,0,2
UADetector :: Core,net.sf.uadetector.writer,IniDataWriter,3,738,0,24,2,175,1,31,1,19
UADetector :: Core,net.sf.uadetector.writer,XmlDataWriter,3,1214,0,24,2,243,1,29,1,17
UADetector :: Core,net.sf.uadetector.exception,CanNotOpenStreamException,0,29,0,0,0,9,0,5,0,5
UADetector :: Core,net.sf.uadetector.exception,CannotCloseException,0,29,0,0,0,9,0,5,0,5
